Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,312000,17541194,35668,85947
高雄林小姐,104000,27263746,5828,20834
紅月,88300,91690,0,0
鳥羽樂奈,44400,1988991,10151,112665
璐洛洛,39800,3398962,12388,32698
虎妮,34800,1060294,2637,3569
香草奈若,34700,2220373,14064,105573
悠白,30800,748185,9121,124628
兔姬,27200,876128,4847,9503
Asa Ifrit,23500,722279,5580,15553
喵太,21900,518293,11285,33954
Naya,18600,4626845,888,4139
空,18300,1182657,1080,6131
鼠屋栗太,13100,86862,956,2562
諳石,11100,2566484,385,1148
一介,10700,729900,0,0
夏玥白夜,10700,161590,0,0
三毛,10700,309863,8084,195281
灰名,10400,139975,2126,4082
水野魚娜,10100,350024,2653,11053
藤乃熊,9340,40184,333,741
如月ルミィ,8490,176667,3788,6638
虛擬熊頭,7700,0,0,0
平平子,7190,45073,3087,12393
星見遙,6480,167985,1163,2494
風絮,6320,29652,200,475
蕾兒,6300,116748,1771,2918
魔法!,5530,1720745,390,970
TSMATCH火柴,5410,106195,784,1661
いくせん,5190,318860,342,2127
姬宮優花,5090,116361,774,2219
夏日葵,4880,281004,636,1815
LMPAPER,4770,411537,157,491
Lumina,3980,140825,219,307
綾賢ラピス,3860,40618,733,1726
綾瑞香,3400,78741,1048,8292
蝦拉拉,3340,100150,952,2954
楠橋詩耶,3140,88107,380,1503
明石巴,3050,15244,192,192
瀰婭,3040,170151,278,784
Joyce昕,3010,301078,160,398
祈霓,2970,15146,1193,6277
観空部,2940,135288,609,947
邱可,2540,19454,447,3856
櫻野露,2460,61922,447,849
卡滋可可,2420,90286,257,2589
星形KARAS,2370,369280,159,337
奶茶,2340,3574,101,265
撇嘴耳包前滾翻,2320,127740,517,581
櫻坂くりこ,2240,87483,261,418
仙貝兔兔,2170,103423,212,896
蘭希,2140,227987,326,645
Shaya,2090,82143,461,1402
藤本莉子,2080,25735,214,684
墨子,2060,61030,60,65
喵控,1890,30483,146,307
草莓電波,1850,21077,1722,1722
雨宮夢,1840,39487,173,384
水手緞帶,1780,80208,241,725
ウイル,1760,41578,474,3342
希爾艾姆,1730,32529,154,494
蛋塔レイ,1730,72992,59,277
十五號,1700,3261,1958,3378
西園寺兆兆,1660,29784,260,405
紅茶拿鐵,1630,59719,391,452
南心詠,1580,38180,455,513
結月,1540,39633,0,0
狐媚娘‧達亞,1530,23957,375,647
幽々魅,1510,29942,60,122
小森,1360,7333,1745,2248
鴨鴨山,1200,42954,263,933
喵朵伊,592,17248,137,581
鴨鴨伊比,243,4015,165,520
