Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,312000,17541194,35677,85976
高雄林小姐,104000,27263746,5828,20834
紅月,88300,91690,0,0
鳥羽樂奈,44400,1988991,10152,112686
璐洛洛,39800,3398962,12392,32704
虎妮,34800,1060294,2636,3571
香草奈若,34800,2220373,14064,105989
悠白,30800,748185,9124,124641
兔姬,27200,876128,4847,9505
Asa Ifrit,23500,722279,6138,15559
喵太,21900,518293,11286,33976
Naya,18600,4626845,888,4139
空,18300,1182657,1080,6133
鼠屋栗太,13100,86862,957,2563
諳石,11100,2566484,385,1150
一介,10700,729900,0,0
夏玥白夜,10700,161590,0,0
三毛,10700,309863,8087,195457
灰名,10400,139975,2126,4083
水野魚娜,10200,350024,2613,11053
藤乃熊,9340,40184,327,741
如月ルミィ,8510,176667,3793,6651
虛擬熊頭,8480,0,0,0
平平子,7280,45073,2945,12400
星見遙,6490,167985,1163,2494
風絮,6320,29652,200,475
蕾兒,6300,116748,1770,2917
魔法!,5530,1720745,390,970
TSMATCH火柴,5410,106195,784,1662
いくせん,5190,318860,342,2127
姬宮優花,5090,116361,774,2224
夏日葵,4880,281004,635,1815
LMPAPER,4770,411537,157,492
Lumina,3980,140825,219,307
綾賢ラピス,3860,40618,733,1726
綾瑞香,3410,78741,1048,8298
蝦拉拉,3340,100150,952,2955
楠橋詩耶,3140,88107,380,1503
明石巴,3050,15244,192,192
瀰婭,3040,170151,278,784
Joyce昕,3010,301078,160,399
祈霓,2980,15146,1195,6287
観空部,2940,135288,584,947
邱可,2550,19454,447,3864
櫻野露,2450,61922,447,851
卡滋可可,2420,90286,254,2590
星形KARAS,2370,369280,159,337
奶茶,2340,3574,101,265
撇嘴耳包前滾翻,2310,127740,517,581
櫻坂くりこ,2240,87483,255,387
仙貝兔兔,2170,103423,215,895
蘭希,2140,227987,326,645
Shaya,2090,82143,461,1402
藤本莉子,2080,25735,214,684
墨子,2060,61030,60,65
喵控,1890,30483,146,307
草莓電波,1850,21077,1726,1726
雨宮夢,1840,39487,173,384
水手緞帶,1780,80208,231,725
ウイル,1770,41578,474,3344
希爾艾姆,1730,32529,154,494
蛋塔レイ,1730,72992,60,277
十五號,1720,3261,2015,3386
西園寺兆兆,1660,29784,260,405
紅茶拿鐵,1630,59719,391,452
南心詠,1580,38180,455,513
結月,1540,39633,0,0
狐媚娘‧達亞,1530,23957,378,647
幽々魅,1510,29942,60,122
小森,1360,7333,1740,2252
鴨鴨山,1210,42954,287,2732
喵朵伊,592,17248,137,581
鴨鴨伊比,244,4015,165,520
