Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,312000,17541194,32949,84955
高雄林小姐,104000,27250265,5605,20824
紅月,88400,91566,0,0
鳥羽樂奈,44200,1988991,10064,112380
璐洛洛,39700,3398962,13347,32636
虎妮,34700,1059460,2603,3558
香草奈若,34000,2220373,14050,101024
悠白,30600,742418,9085,124463
兔姬,27200,875306,4819,9466
Asa Ifrit,23400,722279,5014,15518
喵太,21900,518293,11245,33648
Naya,18600,4626845,888,4139
空,18200,1182657,1079,6128
鼠屋栗太,13100,85529,969,2557
諳石,11100,2564864,387,1132
一介,10700,729496,0,0
夏玥白夜,10700,161590,0,0
三毛,10500,309863,7940,192621
灰名,10400,139975,2120,4076
水野魚娜,10000,350024,2671,11032
藤乃熊,9240,40093,344,741
如月ルミィ,8140,167463,3716,6412
平平子,6690,35555,3650,11946
星見遙,6370,167985,1162,2492
風絮,6320,29154,200,475
蕾兒,6280,116748,1890,2915
虛擬熊頭,5940,0,0,0
魔法!,5530,1720745,384,964
TSMATCH火柴,5420,106195,810,1649
いくせん,5190,318456,348,2123
姬宮優花,5060,116361,768,2186
夏日葵,4830,281004,634,1805
LMPAPER,4770,411537,157,491
Lumina,3980,140825,211,307
綾賢ラピス,3860,38979,747,1726
綾瑞香,3340,73430,1176,8160
蝦拉拉,3330,100150,1363,2939
楠橋詩耶,3130,88107,379,1502
明石巴,3050,15244,189,189
瀰婭,3030,170151,278,782
Joyce昕,3010,300813,164,396
観空部,2940,135288,582,947
祈霓,2820,12698,1166,6065
邱可,2460,19454,418,3538
櫻野露,2450,61922,446,832
卡滋可可,2410,90128,260,2583
星形KARAS,2360,369280,158,323
奶茶,2340,3574,104,264
撇嘴耳包前滾翻,2310,127688,513,581
櫻坂くりこ,2240,87483,258,396
仙貝兔兔,2160,103423,212,861
蘭希,2140,227987,325,644
Shaya,2080,82143,460,1399
藤本莉子,2080,25735,289,679
墨子,2060,60970,58,60
喵控,1880,30419,148,307
草莓電波,1850,21031,1705,1705
雨宮夢,1840,39487,190,377
水手緞帶,1780,80208,234,725
ウイル,1750,41578,472,3320
希爾艾姆,1730,32529,154,494
蛋塔レイ,1730,72882,59,276
西園寺兆兆,1650,29486,242,406
紅茶拿鐵,1630,59599,385,441
十五號,1630,3261,3274,3274
南心詠,1580,38142,455,512
結月,1540,39620,0,0
狐媚娘‧達亞,1520,23638,383,647
幽々魅,1510,29942,60,121
小森,1350,6222,1732,2178
鴨鴨山,1080,42885,284,929
喵朵伊,592,17205,137,581
鴨鴨伊比,241,4015,182,520
